Urun,adres,fiyat,işlemci,ram,ekran,depolama
LENOVO 20KG0025KH Taşınabilir Bilgisayar,/Katalog/Urun/Detay/882740_610291,"18.729,07",8565U,16 GB,14,SSD
DELL L7300-İ7-8GB-256SSD-NT-U Taşınabilir Bilgi...,/Katalog/Urun/Detay/628821_805330,"13.619,28",8665U,8 GB,"13,3",SSD
ASUS P3540FB-EJ0163W Taşınabilir Bilgisayar,/Katalog/Urun/Detay/808128_908796,"10.803,27",8565u,8 GB,"15,6",SSD
LENOVO 20RD000GB3 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/607921_916996,"9.123,89",10210U,8 GB,"15,6",SSD
ACER NX.VMHEY.001CP Taşınabilir Bilgisayar,/Katalog/Urun/Detay/700128_904521,"8.857,65",10210U,8 GB,"15,6",SSD
LENOVO 20SYA1E101 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1093435_949810,"16.384,10",10510U,16 GB,"13,3",SSD
FUJITSU VFY:E5510M15A0DE Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1090448_948593,"11.468,87",10210U,8 GB,"15,6",SSD
HP 4WG26AV Taşınabilir Bilgisayar,/Katalog/Urun/Detay/676895_801424,"12.605,52",8265U,8 GB,14,SSD
DELL Dell L7490 C1-W Taşınabilir Bilgisayar,/Katalog/Urun/Detay/552467_240181,"11.878,47",8350U,8 GB,14,SSD
DELL L5400-İ5-8GB-256SSD-NT-U Taşınabilir Bilgi...,/Katalog/Urun/Detay/628821_805326,"7.424,04",8365U,8 GB,14,SSD
LENOVO 20S7A1E104 Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1093435_948635,"12.697,67",10510U,8 GB,"15,6",SSD
FUJITSU VFY:E5410MC5BMDE Taşınabilir Bilgisayar,/Katalog/Urun/Detay/1090448_948589,"10.956,87",10210U,8 GB,14,SSD
